,missing_states
0,Arizona
1,Delaware
2,Idaho
3,Illinois
4,Indiana
5,Kentucky
6,Maryland
7,Minnesota
8,Mississippi
9,New Hampshire
10,New Jersey
11,North Carolina
12,Oklahoma
13,Rhode Island
14,South Carolina
15,Tennessee
16,Texas
17,Vermont
18,Washington
19,Wisconsin
